time;vehicle_flux;
0;0;
300;6;
600;6;
900;20;
1200;12;
1500;8;
1800;14;
2100;10;
2400;8;
2700;15;
3000;12;
3300;8;
3600;9;
3900;8;
4200;4;
4500;4;
4800;10;
5100;2;
5400;7;
5700;6;
6000;1;
6300;3;
6600;5;
6900;2;
7200;0;
7500;0;
7800;0;
8100;0;
8400;3;
8700;4;
9000;3;
9300;0;
9600;0;
9900;0;
10200;4;
10500;2;
10800;4;
11100;0;
11400;0;
11700;0;
12000;3;
12300;4;
12600;6;
12900;5;
13200;4;
13500;4;
13800;8;
14100;1;
14400;0;
14700;0;
15000;0;
15300;0;
15600;2;
15900;9;
16200;6;
16500;7;
16800;12;
17100;6;
17400;17;
17700;10;
18000;8;
18300;20;
18600;20;
18900;21;
19200;30;
19500;27;
19800;39;
20100;44;
20400;49;
20700;34;
21000;36;
21300;32;
21600;12;
21900;41;
22200;32;
22500;19;
22800;71;
23100;57;
23400;64;
23700;70;
24000;64;
24300;90;
24600;79;
24900;115;
25200;69;
25500;61;
25800;117;
26100;60;
26400;94;
26700;114;
27000;74;
27300;116;
27600;96;
27900;99;
28200;88;
28500;97;
28800;112;
29100;72;
29400;122;
29700;91;
30000;70;
30300;142;
30600;74;
30900;97;
31200;113;
31500;76;
31800;108;
32100;97;
32400;102;
32700;84;
33000;95;
33300;121;
33600;72;
33900;114;
34200;100;
34500;72;
34800;133;
35100;77;
35400;100;
35700;104;
36000;82;
36300;111;
36600;89;
36900;111;
37200;86;
37500;84;
37800;126;
38100;75;
38400;105;
38700;106;
39000;75;
39300;125;
39600;86;
39900;100;
40200;68;
40500;60;
40800;70;
41100;71;
41400;81;
41700;58;
42000;58;
42300;100;
42600;35;
42900;73;
43200;81;
43500;43;
43800;82;
44100;68;
44400;76;
44700;60;
45000;75;
45300;60;
45600;56;
45900;86;
46200;52;
46500;59;
46800;121;
47100;43;
47400;67;
47700;104;
48000;42;
48300;100;
48600;79;
48900;88;
49200;61;
49500;95;
49800;79;
50100;53;
50400;108;
50700;65;
51000;66;
51300;115;
51600;77;
51900;73;
52200;103;
52500;82;
52800;92;
53100;85;
53400;95;
53700;56;
54000;60;
54300;90;
54600;47;
54900;87;
55200;73;
55500;66;
55800;109;
56100;79;
56400;70;
56700;69;
57000;91;
57300;102;
57600;79;
57900;121;
58200;80;
58500;76;
58800;133;
59100;65;
59400;94;
59700;114;
60000;66;
60300;116;
60600;91;
60900;99;
61200;88;
61500;97;
61800;112;
62100;72;
62400;122;
62700;91;
63000;70;
63300;142;
63600;74;
63900;97;
64200;113;
64500;76;
64800;108;
65100;97;
65400;102;
65700;84;
66000;95;
66300;121;
66600;72;
66900;114;
67200;100;
67500;72;
67800;133;
68100;77;
68400;100;
68700;104;
69000;82;
69300;111;
69600;89;
69900;111;
70200;86;
70500;84;
70800;126;
71100;75;
71400;105;
71700;106;
72000;75;
72300;125;
72600;86;
72900;100;
73200;95;
73500;91;
73800;110;
74100;80;
74400;121;
74700;85;
75000;77;
75300;134;
75600;69;
75900;59;
76200;54;
76500;15;
76800;65;
77100;34;
77400;50;
77700;38;
78000;41;
78300;25;
78600;27;
78900;33;
79200;16;
79500;17;
79800;48;
80100;15;
80400;30;
80700;50;
81000;17;
81300;53;
81600;28;
81900;39;
82200;20;
82500;25;
82800;27;
83100;13;
83400;38;
83700;18;
84000;13;
84300;31;
84600;22;
84900;19;
85200;24;
85500;21;
85800;15;
86100;18;
86400;15;
